"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Debate","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"1","good",112S,268.3S,1,"Schieffer:","No",3,1,7.89,1.24,3.66,2.72,6.41,2.18,3,7.47,1.45,5.43,2.85,6.41,2.05
"2","evening",112S,268.3S,1,"Schieffer:","No",3,2,7.09,1.87,3.1,2,5.22,2.21,NA,NA,NA,NA,NA,NA,NA
"3","from",112S,268.3S,1,"Schieffer:","No",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","the",112S,268.3S,1,"Schieffer:","No",3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","campus",112S,268.3S,1,"Schieffer:","No",3,5,6.44,1.98,4.17,2.1,5.21,1.55,NA,6.07,1.46,4.79,1.68,5.03,1.52
"6","of",112S,268.3S,1,"Schieffer:","No",3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","lynn",112S,268.3S,1,"Schieffer:","No",3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","university",112S,268.3S,1,"Schieffer:","No",3,8,6.95,1.15,4.24,2.36,5.7,2.58,NA,NA,NA,NA,NA,NA,NA
"9","here",112S,268.3S,1,"Schieffer:","No",3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","in",112S,268.3S,1,"Schieffer:","No",3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","boca",112S,268.3S,1,"Schieffer:","No",3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","raton",112S,268.3S,1,"Schieffer:","No",3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","florida",112S,268.3S,1,"Schieffer:","No",3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","this",112S,268.3S,1,"Schieffer:","No",3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","is",112S,268.3S,1,"Schieffer:","No",3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","the",112S,268.3S,1,"Schieffer:","No",3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","fourth",112S,268.3S,1,"Schieffer:","No",3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","and",112S,268.3S,1,"Schieffer:","No",3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","last",112S,268.3S,1,"Schieffer:","No",3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","debate",112S,268.3S,1,"Schieffer:","No",3,20,4.95,1.39,4.86,2.41,5.96,2.41,NA,NA,NA,NA,NA,NA,NA
"21","of",112S,268.3S,1,"Schieffer:","No",3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","the",112S,268.3S,1,"Schieffer:","No",3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2012",112S,268.3S,1,"Schieffer:","No",3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","campaign",112S,268.3S,1,"Schieffer:","No",3,24,4.55,1.76,3.5,2.56,5.14,2.44,NA,NA,NA,NA,NA,NA,NA
"25","brought",112S,268.3S,1,"Schieffer:","No",3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","to",112S,268.3S,1,"Schieffer:","No",3,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","you",112S,268.3S,1,"Schieffer:","No",3,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","by",112S,268.3S,1,"Schieffer:","No",3,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","the",112S,268.3S,1,"Schieffer:","No",3,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","commission",112S,268.3S,1,"Schieffer:","No",3,30,5.81,2.06,4.59,2.5,5.38,2.14,NA,NA,NA,NA,NA,NA,NA
"31","on",112S,268.3S,1,"Schieffer:","No",3,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","presidential",112S,268.3S,1,"Schieffer:","No",3,32,4.95,1.35,4.06,2.24,5.18,2.81,NA,NA,NA,NA,NA,NA,NA
"33","debates",112S,268.3S,1,"Schieffer:","No",3,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","this",112S,268.3S,1,"Schieffer:","No",3,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","one's",112S,268.3S,1,"Schieffer:","No",3,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","on",112S,268.3S,1,"Schieffer:","No",3,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","foreign",112S,268.3S,1,"Schieffer:","No",3,37,4.86,1.55,5.43,2.63,4.79,1.65,NA,NA,NA,NA,NA,NA,NA
"38","policy",112S,268.3S,1,"Schieffer:","No",3,38,3.77,1.34,3.3,2.03,6.11,2.38,NA,4.5,1.55,4.3,2,4.03,1.81
"39","i'm",112S,268.3S,1,"Schieffer:","No",3,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","schieffer",112S,268.3S,1,"Schieffer:","No",3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","of",112S,268.3S,1,"Schieffer:","No",3,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","cbs",112S,268.3S,1,"Schieffer:","No",3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","news",112S,268.3S,1,"Schieffer:","No",3,43,4.96,1.43,4.61,2.3,4.48,2.6,NA,5.3,1.67,5.17,2.11,4.6,1.88
"44","the",112S,268.3S,1,"Schieffer:","No",3,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","questions",112S,268.3S,1,"Schieffer:","No",3,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","are",112S,268.3S,1,"Schieffer:","No",3,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","mine",112S,268.3S,1,"Schieffer:","No",3,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","and",112S,268.3S,1,"Schieffer:","No",3,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","i",112S,268.3S,1,"Schieffer:","No",3,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","have",112S,268.3S,1,"Schieffer:","No",3,50,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"51","not",112S,268.3S,1,"Schieffer:","No",3,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","shared",112S,268.3S,1,"Schieffer:","No",3,52,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"53","them",112S,268.3S,1,"Schieffer:","No",3,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","with",112S,268.3S,1,"Schieffer:","No",3,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","the",112S,268.3S,1,"Schieffer:","No",3,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","candidates",112S,268.3S,1,"Schieffer:","No",3,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
