"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"1","good",NA,284.7S,1,"HOLT:","No",1,7.89,1.24,3.66,2.72,6.41,2.18,3,7.47,1.45,5.43,2.85,6.41,2.05
"2","evening",NA,284.7S,1,"HOLT:","No",2,7.09,1.87,3.1,2,5.22,2.21,NA,NA,NA,NA,NA,NA,NA
"3","from",NA,284.7S,1,"HOLT:","No",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","hofstra",NA,284.7S,1,"HOLT:","No",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","university",NA,284.7S,1,"HOLT:","No",5,6.95,1.15,4.24,2.36,5.7,2.58,NA,NA,NA,NA,NA,NA,NA
"6","in",NA,284.7S,1,"HOLT:","No",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","hempstead",NA,284.7S,1,"HOLT:","No",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","new",NA,284.7S,1,"HOLT:","No",8,7.68,1.29,5.14,2.82,5.22,2.02,NA,NA,NA,NA,NA,NA,NA
"9","york",NA,284.7S,1,"HOLT:","No",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","i’m",NA,284.7S,1,"HOLT:","No",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","lester",NA,284.7S,1,"HOLT:","No",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","holt",NA,284.7S,1,"HOLT:","No",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","anchor",NA,284.7S,1,"HOLT:","No",13,5.16,2.17,3.32,2.08,5.29,1.81,NA,NA,NA,NA,NA,NA,NA
"14","of",NA,284.7S,1,"HOLT:","No",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","nbc",NA,284.7S,1,"HOLT:","No",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","nightly",NA,284.7S,1,"HOLT:","No",16,5.38,1.63,3.61,2.23,5.32,1.38,NA,NA,NA,NA,NA,NA,NA
"17","news",NA,284.7S,1,"HOLT:","No",17,4.96,1.43,4.61,2.3,4.48,2.6,NA,5.3,1.67,5.17,2.11,4.6,1.88
"18","i",NA,284.7S,1,"HOLT:","No",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","want",NA,284.7S,1,"HOLT:","No",19,6,1.8,5.29,2.12,5.39,2.68,1,5.25,2.08,6,2.11,4.54,2.13
"20","to",NA,284.7S,1,"HOLT:","No",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","welcome",NA,284.7S,1,"HOLT:","No",21,7.27,1.88,3.76,2.26,6.24,2.17,2,NA,NA,NA,NA,NA,NA
"22","you",NA,284.7S,1,"HOLT:","No",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","to",NA,284.7S,1,"HOLT:","No",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","the",NA,284.7S,1,"HOLT:","No",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","first",NA,284.7S,1,"HOLT:","No",25,7.33,1.28,4.9,2.83,6.38,2.32,NA,6.89,2.22,6.14,2.48,7.21,1.93
"26","presidential",NA,284.7S,1,"HOLT:","No",26,4.95,1.35,4.06,2.24,5.18,2.81,NA,NA,NA,NA,NA,NA,NA
"27","debate",NA,284.7S,1,"HOLT:","No",27,4.95,1.39,4.86,2.41,5.96,2.41,NA,NA,NA,NA,NA,NA,NA
"28","the",NA,284.7S,1,"HOLT:","No",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","participants",NA,284.7S,1,"HOLT:","No",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","tonight",NA,284.7S,1,"HOLT:","No",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
