"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"12","and",277.7S,285.7S,1,"RADDATZ:","No",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","the",277.7S,285.7S,1,"RADDATZ:","No",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","democratic",277.7S,285.7S,1,"RADDATZ:","No",14,5.7,1.63,4.33,2.35,6.62,2.53,NA,NA,NA,NA,NA,NA,NA
"15","nominee",277.7S,285.7S,1,"RADDATZ:","No",15,5.5,1.19,4.4,2.63,5.75,2.09,NA,NA,NA,NA,NA,NA,NA
"16","for",277.7S,285.7S,1,"RADDATZ:","No",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","president",277.7S,285.7S,1,"RADDATZ:","No",17,5.23,1.57,4.71,2.69,4.38,2.73,NA,5.2,2.17,5.63,2.14,4.77,2.6
"18","hillary",277.7S,285.7S,1,"RADDATZ:","No",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","clinton",277.7S,285.7S,1,"RADDATZ:","No",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","thank",312S,326.4S,2,"COOPER:","No",20,7.77,1.41,3.33,2.31,6.89,1.91,2,NA,NA,NA,NA,NA,NA
"21","you",312S,326.4S,2,"COOPER:","No",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","very",312S,326.4S,2,"COOPER:","No",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","much",312S,326.4S,2,"COOPER:","No",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","for",312S,326.4S,2,"COOPER:","No",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","being",312S,326.4S,2,"COOPER:","No",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","here",312S,326.4S,2,"COOPER:","No",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","we’re",312S,326.4S,2,"COOPER:","No",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","going",312S,326.4S,2,"COOPER:","No",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","to",312S,326.4S,2,"COOPER:","No",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","begin",312S,326.4S,2,"COOPER:","No",30,6.44,2.04,2.85,2.23,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"31","with",312S,326.4S,2,"COOPER:","No",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","a",312S,326.4S,2,"COOPER:","No",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
