"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"1","good",NA,NA,1,"Wallace:","No",1,7.89,1.24,3.66,2.72,6.41,2.18,3,7.47,1.45,5.43,2.85,6.41,2.05
"2","evening",NA,NA,1,"Wallace:","No",2,7.09,1.87,3.1,2,5.22,2.21,NA,NA,NA,NA,NA,NA,NA
"3","from",NA,NA,1,"Wallace:","No",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","the",NA,NA,1,"Wallace:","No",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","thomas",NA,NA,1,"Wallace:","No",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","and",NA,NA,1,"Wallace:","No",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","mack",NA,NA,1,"Wallace:","No",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","center",NA,NA,1,"Wallace:","No",8,5.56,1.76,2.62,1.83,5.72,1.56,NA,NA,NA,NA,NA,NA,NA
"9","at",NA,NA,1,"Wallace:","No",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","the",NA,NA,1,"Wallace:","No",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","university",NA,NA,1,"Wallace:","No",11,6.95,1.15,4.24,2.36,5.7,2.58,NA,NA,NA,NA,NA,NA,NA
"12","of",NA,NA,1,"Wallace:","No",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","nevada",NA,NA,1,"Wallace:","No",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","las",NA,NA,1,"Wallace:","No",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","vegas",NA,NA,1,"Wallace:","No",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","i'm",NA,NA,1,"Wallace:","No",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","chris",NA,NA,1,"Wallace:","No",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","wallace",NA,NA,1,"Wallace:","No",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","of",NA,NA,1,"Wallace:","No",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
