"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"20","fox",NA,NA,1,"Wallace:","No",20,5.52,1.78,4.36,2.61,5.5,2.6,NA,NA,NA,NA,NA,NA,NA
"21","news",NA,NA,1,"Wallace:","No",21,4.96,1.43,4.61,2.3,4.48,2.6,NA,5.3,1.67,5.17,2.11,4.6,1.88
"22","and",NA,NA,1,"Wallace:","No",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","i",NA,NA,1,"Wallace:","No",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","welcome",NA,NA,1,"Wallace:","No",24,7.27,1.88,3.76,2.26,6.24,2.17,2,NA,NA,NA,NA,NA,NA
"25","you",NA,NA,1,"Wallace:","No",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","to",NA,NA,1,"Wallace:","No",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","the",NA,NA,1,"Wallace:","No",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","third",NA,NA,1,"Wallace:","No",28,5,1.64,2.64,1.87,5.61,2.28,NA,NA,NA,NA,NA,NA,NA
"29","and",NA,NA,1,"Wallace:","No",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","final",NA,NA,1,"Wallace:","No",30,4.56,1.34,4.4,2.95,3.94,2.21,NA,NA,NA,NA,NA,NA,NA
"31","of",NA,NA,1,"Wallace:","No",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","the",NA,NA,1,"Wallace:","No",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016",NA,NA,1,"Wallace:","No",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","presidential",NA,NA,1,"Wallace:","No",34,4.95,1.35,4.06,2.24,5.18,2.81,NA,NA,NA,NA,NA,NA,NA
"35","debates",NA,NA,1,"Wallace:","No",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","between",NA,NA,1,"Wallace:","No",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","secretary",NA,NA,1,"Wallace:","No",37,5.18,1.84,3.8,2.17,6.68,2.26,NA,5.76,1.3,4.66,2.04,5.86,1.62
"38","of",NA,NA,1,"Wallace:","No",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","state",NA,NA,1,"Wallace:","No",39,5.73,1.32,3.29,1.85,5.65,1.9,NA,NA,NA,NA,NA,NA,NA
"40","hillary",NA,NA,1,"Wallace:","No",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","clinton",NA,NA,1,"Wallace:","No",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","and",NA,NA,1,"Wallace:","No",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","donald",NA,NA,1,"Wallace:","No",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","j",NA,NA,1,"Wallace:","No",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","trump",NA,NA,1,"Wallace:","No",45,4.18,1.68,3.33,1.98,5.86,1.71,NA,NA,NA,NA,NA,NA,NA
"46","this",NA,NA,1,"Wallace:","No",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","debate",NA,NA,1,"Wallace:","No",47,4.95,1.39,4.86,2.41,5.96,2.41,NA,NA,NA,NA,NA,NA,NA
"48","is",NA,NA,1,"Wallace:","No",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","sponsored",NA,NA,1,"Wallace:","No",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","by",NA,NA,1,"Wallace:","No",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","the",NA,NA,1,"Wallace:","No",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","commission",NA,NA,1,"Wallace:","No",52,5.81,2.06,4.59,2.5,5.38,2.14,NA,NA,NA,NA,NA,NA,NA
"53","on",NA,NA,1,"Wallace:","No",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","presidential",NA,NA,1,"Wallace:","No",54,4.95,1.35,4.06,2.24,5.18,2.81,NA,NA,NA,NA,NA,NA,NA
"55","debates",NA,NA,1,"Wallace:","No",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","the",NA,NA,1,"Wallace:","No",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","commission",NA,NA,1,"Wallace:","No",57,5.81,2.06,4.59,2.5,5.38,2.14,NA,NA,NA,NA,NA,NA,NA
"58","has",NA,NA,1,"Wallace:","No",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","designed",NA,NA,1,"Wallace:","No",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","the",NA,NA,1,"Wallace:","No",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","format",NA,NA,1,"Wallace:","No",61,5.19,1.54,2.73,2.07,4.81,2.34,NA,NA,NA,NA,NA,NA,NA
"62","six",233.6S,340.7S,2,"Wallace:","No",62,4.85,1.6,3.18,2.13,5.58,2.19,NA,NA,NA,NA,NA,NA,NA
"63","roughly",233.6S,340.7S,2,"Wallace:","No",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","15",233.6S,340.7S,2,"Wallace:","No",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","minute",233.6S,340.7S,2,"Wallace:","No",65,5.5,1.47,3.76,2.64,4.17,2.28,NA,NA,NA,NA,NA,NA,NA
"66","segments",233.6S,340.7S,2,"Wallace:","No",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","with",233.6S,340.7S,2,"Wallace:","No",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","two",233.6S,340.7S,2,"Wallace:","No",68,6.3,1.63,3.33,2.57,5.05,2.15,NA,NA,NA,NA,NA,NA,NA
"69","minute",233.6S,340.7S,2,"Wallace:","No",69,5.5,1.47,3.76,2.64,4.17,2.28,NA,NA,NA,NA,NA,NA,NA
"70","answers",233.6S,340.7S,2,"Wallace:","No",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","to",233.6S,340.7S,2,"Wallace:","No",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","the",233.6S,340.7S,2,"Wallace:","No",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","first",233.6S,340.7S,2,"Wallace:","No",73,7.33,1.28,4.9,2.83,6.38,2.32,NA,6.89,2.22,6.14,2.48,7.21,1.93
"74","question",233.6S,340.7S,2,"Wallace:","No",74,6.36,1.62,3.67,2.24,5.88,2.31,NA,NA,NA,NA,NA,NA,NA
"75","then",233.6S,340.7S,2,"Wallace:","No",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","open",233.6S,340.7S,2,"Wallace:","No",76,6.14,1.58,4.43,2.38,6.17,1.79,NA,NA,NA,NA,NA,NA,NA
"77","discussion",233.6S,340.7S,2,"Wallace:","No",77,6.18,1.33,5,2.52,5.95,1.57,NA,NA,NA,NA,NA,NA,NA
"78","for",233.6S,340.7S,2,"Wallace:","No",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","the",233.6S,340.7S,2,"Wallace:","No",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","rest",233.6S,340.7S,2,"Wallace:","No",80,7.86,1.25,2.29,2.35,5.78,2.34,NA,NA,NA,NA,NA,NA,NA
"81","of",233.6S,340.7S,2,"Wallace:","No",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","each",233.6S,340.7S,2,"Wallace:","No",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","segment",233.6S,340.7S,2,"Wallace:","No",83,4.63,1.42,3.61,2.12,5.29,1.83,NA,NA,NA,NA,NA,NA,NA
"84","both",233.6S,340.7S,2,"Wallace:","No",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","campaigns",233.6S,340.7S,2,"Wallace:","No",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","have",233.6S,340.7S,2,"Wallace:","No",86,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"87","agreed",233.6S,340.7S,2,"Wallace:","No",87,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"88","to",233.6S,340.7S,2,"Wallace:","No",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","those",233.6S,340.7S,2,"Wallace:","No",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","rules",233.6S,340.7S,2,"Wallace:","No",90,NA,NA,NA,NA,NA,NA,NA,4.23,1.41,4.38,1.52,3.34,1.86
"91","for",233.6S,340.7S,2,"Wallace:","No",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","the",233.6S,340.7S,2,"Wallace:","No",92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","record",233.6S,340.7S,2,"Wallace:","No",93,5.89,1.57,3.3,2.3,5.5,2.31,NA,NA,NA,NA,NA,NA,NA
"94","i",233.6S,340.7S,2,"Wallace:","No",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","decided",233.6S,340.7S,2,"Wallace:","No",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","the",233.6S,340.7S,2,"Wallace:","No",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","topics",233.6S,340.7S,2,"Wallace:","No",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","and",233.6S,340.7S,2,"Wallace:","No",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","the",233.6S,340.7S,2,"Wallace:","No",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","questions",233.6S,340.7S,2,"Wallace:","No",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","in",233.6S,340.7S,2,"Wallace:","No",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","each",233.6S,340.7S,2,"Wallace:","No",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","topic",233.6S,340.7S,2,"Wallace:","No",103,5.5,1.67,3.2,2.17,5.96,1.78,NA,NA,NA,NA,NA,NA,NA
"104","none",233.6S,340.7S,2,"Wallace:","No",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","of",233.6S,340.7S,2,"Wallace:","No",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","those",233.6S,340.7S,2,"Wallace:","No",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","questions",233.6S,340.7S,2,"Wallace:","No",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","has",233.6S,340.7S,2,"Wallace:","No",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","been",233.6S,340.7S,2,"Wallace:","No",109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","shared",233.6S,340.7S,2,"Wallace:","No",110,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"111","with",233.6S,340.7S,2,"Wallace:","No",111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","a",233.6S,340.7S,2,"Wallace:","No",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","commission",233.6S,340.7S,2,"Wallace:","No",113,5.81,2.06,4.59,2.5,5.38,2.14,NA,NA,NA,NA,NA,NA,NA
"114","or",233.6S,340.7S,2,"Wallace:","No",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","the",233.6S,340.7S,2,"Wallace:","No",115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","two",233.6S,340.7S,2,"Wallace:","No",116,6.3,1.63,3.33,2.57,5.05,2.15,NA,NA,NA,NA,NA,NA,NA
"117","candidates",233.6S,340.7S,2,"Wallace:","No",117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","the",233.6S,340.7S,2,"Wallace:","No",118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","audience",233.6S,340.7S,2,"Wallace:","No",119,5.89,2.03,4.91,2.45,5.14,2.49,NA,NA,NA,NA,NA,NA,NA
"120","here",233.6S,340.7S,2,"Wallace:","No",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","in",233.6S,340.7S,2,"Wallace:","No",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","the",233.6S,340.7S,2,"Wallace:","No",122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","hall",233.6S,340.7S,2,"Wallace:","No",123,5.89,1.68,2.57,1.78,4.22,1.9,NA,NA,NA,NA,NA,NA,NA
"124","has",233.6S,340.7S,2,"Wallace:","No",124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","promised",233.6S,340.7S,2,"Wallace:","No",125,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"126","to",233.6S,340.7S,2,"Wallace:","No",126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","remain",233.6S,340.7S,2,"Wallace:","No",127,5.68,1.39,3.2,1.99,6.58,2.22,NA,NA,NA,NA,NA,NA,NA
"128","silent",233.6S,340.7S,2,"Wallace:","No",128,5.14,1.98,3.21,2.02,6.59,2.28,NA,4.79,1.97,3.46,2.19,4.96,2.19
"129","no",233.6S,340.7S,2,"Wallace:","No",129,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
"130","cheers",233.6S,340.7S,2,"Wallace:","No",130,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"131","boos",233.6S,340.7S,2,"Wallace:","No",131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","or",233.6S,340.7S,2,"Wallace:","No",132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","other",233.6S,340.7S,2,"Wallace:","No",133,5.41,1.59,3.48,2.27,6,2.09,NA,NA,NA,NA,NA,NA,NA
"134","interruptions",233.6S,340.7S,2,"Wallace:","No",134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","so",233.6S,340.7S,2,"Wallace:","No",135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","we",233.6S,340.7S,2,"Wallace:","No",136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","and",233.6S,340.7S,2,"Wallace:","No",137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","you",233.6S,340.7S,2,"Wallace:","No",138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","can",233.6S,340.7S,2,"Wallace:","No",139,6.41,1.53,3.14,1.93,6.44,2.19,NA,NA,NA,NA,NA,NA,NA
"140","focus",233.6S,340.7S,2,"Wallace:","No",140,6.48,1.69,4.45,2.76,6.84,2.36,NA,NA,NA,NA,NA,NA,NA
"141","on",233.6S,340.7S,2,"Wallace:","No",141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","what",233.6S,340.7S,2,"Wallace:","No",142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","the",233.6S,340.7S,2,"Wallace:","No",143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","candidates",233.6S,340.7S,2,"Wallace:","No",144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","have",233.6S,340.7S,2,"Wallace:","No",145,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"146","to",233.6S,340.7S,2,"Wallace:","No",146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","say",233.6S,340.7S,2,"Wallace:","No",147,5.91,1.66,4.43,2.48,6.88,1.83,NA,NA,NA,NA,NA,NA,NA
"148","no",233.6S,340.7S,2,"Wallace:","No",148,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
"149","noise",233.6S,340.7S,2,"Wallace:","No",149,3.36,2.28,5.75,2.59,5.47,2.76,NA,4.93,1.9,4.86,2.3,4.61,1.95
"150","except",233.6S,340.7S,2,"Wallace:","No",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","right",233.6S,340.7S,2,"Wallace:","No",151,7.32,1.49,5,2.6,7.16,1.86,NA,6.45,1.55,4.79,2.18,6.38,1.78
"152","now",233.6S,340.7S,2,"Wallace:","No",152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","as",233.6S,340.7S,2,"Wallace:","No",153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","we",233.6S,340.7S,2,"Wallace:","No",154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","welcome",233.6S,340.7S,2,"Wallace:","No",155,7.27,1.88,3.76,2.26,6.24,2.17,2,NA,NA,NA,NA,NA,NA
"156","the",233.6S,340.7S,2,"Wallace:","No",156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","democratic",233.6S,340.7S,2,"Wallace:","No",157,5.7,1.63,4.33,2.35,6.62,2.53,NA,NA,NA,NA,NA,NA,NA
"158","nominee",233.6S,340.7S,2,"Wallace:","No",158,5.5,1.19,4.4,2.63,5.75,2.09,NA,NA,NA,NA,NA,NA,NA
"159","for",233.6S,340.7S,2,"Wallace:","No",159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","president",233.6S,340.7S,2,"Wallace:","No",160,5.23,1.57,4.71,2.69,4.38,2.73,NA,5.2,2.17,5.63,2.14,4.77,2.6
"161","secretary",233.6S,340.7S,2,"Wallace:","No",161,5.18,1.84,3.8,2.17,6.68,2.26,NA,5.76,1.3,4.66,2.04,5.86,1.62
"162","clinton",233.6S,340.7S,2,"Wallace:","No",162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","and",233.6S,340.7S,2,"Wallace:","No",163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","the",233.6S,340.7S,2,"Wallace:","No",164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","republican",233.6S,340.7S,2,"Wallace:","No",165,4.26,2.02,3.11,1.84,5.4,3,NA,NA,NA,NA,NA,NA,NA
"166","nominee",233.6S,340.7S,2,"Wallace:","No",166,5.5,1.19,4.4,2.63,5.75,2.09,NA,NA,NA,NA,NA,NA,NA
"167","for",233.6S,340.7S,2,"Wallace:","No",167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","president",233.6S,340.7S,2,"Wallace:","No",168,5.23,1.57,4.71,2.69,4.38,2.73,NA,5.2,2.17,5.63,2.14,4.77,2.6
"169","mr",233.6S,340.7S,2,"Wallace:","No",169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","trump",233.6S,340.7S,2,"Wallace:","No",170,4.18,1.68,3.33,1.98,5.86,1.71,NA,NA,NA,NA,NA,NA,NA
"171","applause",233.6S,340.7S,2,"Wallace:","No",171,7.12,1.35,5.38,1.83,6.56,2,2,7.5,1.5,5.8,2.79,6.48,2.11
"172","secretary",233.6S,340.7S,2,"Wallace:","No",172,5.18,1.84,3.8,2.17,6.68,2.26,NA,5.76,1.3,4.66,2.04,5.86,1.62
"173","clinton",233.6S,340.7S,2,"Wallace:","No",173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","mr",233.6S,340.7S,2,"Wallace:","No",174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","trump",233.6S,340.7S,2,"Wallace:","No",175,4.18,1.68,3.33,1.98,5.86,1.71,NA,NA,NA,NA,NA,NA,NA
"176","welcome",233.6S,340.7S,2,"Wallace:","No",176,7.27,1.88,3.76,2.26,6.24,2.17,2,NA,NA,NA,NA,NA,NA
"177","let's",233.6S,340.7S,2,"Wallace:","No",177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","get",233.6S,340.7S,2,"Wallace:","No",178,6.09,1.57,3.67,2.03,5.65,1.93,NA,NA,NA,NA,NA,NA,NA
"179","right",233.6S,340.7S,2,"Wallace:","No",179,7.32,1.49,5,2.6,7.16,1.86,NA,6.45,1.55,4.79,2.18,6.38,1.78
"180","to",233.6S,340.7S,2,"Wallace:","No",180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","it",233.6S,340.7S,2,"Wallace:","No",181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","the",233.6S,340.7S,2,"Wallace:","No",182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","first",233.6S,340.7S,2,"Wallace:","No",183,7.33,1.28,4.9,2.83,6.38,2.32,NA,6.89,2.22,6.14,2.48,7.21,1.93
"184","topic",233.6S,340.7S,2,"Wallace:","No",184,5.5,1.67,3.2,2.17,5.96,1.78,NA,NA,NA,NA,NA,NA,NA
"185","is",233.6S,340.7S,2,"Wallace:","No",185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","the",233.6S,340.7S,2,"Wallace:","No",186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","supreme",233.6S,340.7S,2,"Wallace:","No",187,6.14,2.01,4.28,2.32,6.11,2.58,NA,NA,NA,NA,NA,NA,NA
"188","court",233.6S,340.7S,2,"Wallace:","No",188,3.52,2.09,4.43,2.71,3.94,2.48,NA,3.44,2.41,5.67,2.81,3.56,2.79
"189","you",233.6S,340.7S,2,"Wallace:","No",189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","both",233.6S,340.7S,2,"Wallace:","No",190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","talked",233.6S,340.7S,2,"Wallace:","No",191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","briefly",233.6S,340.7S,2,"Wallace:","No",192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","about",233.6S,340.7S,2,"Wallace:","No",193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","the",233.6S,340.7S,2,"Wallace:","No",194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","court",233.6S,340.7S,2,"Wallace:","No",195,3.52,2.09,4.43,2.71,3.94,2.48,NA,3.44,2.41,5.67,2.81,3.56,2.79
"196","in",233.6S,340.7S,2,"Wallace:","No",196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","the",233.6S,340.7S,2,"Wallace:","No",197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","last",233.6S,340.7S,2,"Wallace:","No",198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
