"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Debate","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"38","the",104S,267.1S,1,"Lehrer:","No",1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","democratic",104S,267.1S,1,"Lehrer:","No",1,39,5.7,1.63,4.33,2.35,6.62,2.53,NA,NA,NA,NA,NA,NA,NA
"40","nominee",104S,267.1S,1,"Lehrer:","No",1,40,5.5,1.19,4.4,2.63,5.75,2.09,NA,NA,NA,NA,NA,NA,NA
"41","and",104S,267.1S,1,"Lehrer:","No",1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","former",104S,267.1S,1,"Lehrer:","No",1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","massachusetts",104S,267.1S,1,"Lehrer:","No",1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","governor",104S,267.1S,1,"Lehrer:","No",1,44,5.32,1.49,3.65,2.3,6.05,2.46,NA,NA,NA,NA,NA,NA,NA
"45","mitt",104S,267.1S,1,"Lehrer:","No",1,45,5.48,2.06,2.75,1.74,5,2.19,NA,NA,NA,NA,NA,NA,NA
"46","romney",104S,267.1S,1,"Lehrer:","No",1,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","the",104S,267.1S,1,"Lehrer:","No",1,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","republican",104S,267.1S,1,"Lehrer:","No",1,48,4.26,2.02,3.11,1.84,5.4,3,NA,NA,NA,NA,NA,NA,NA
"49","nominee",104S,267.1S,1,"Lehrer:","No",1,49,5.5,1.19,4.4,2.63,5.75,2.09,NA,NA,NA,NA,NA,NA,NA
"50","this",104S,267.1S,1,"Lehrer:","No",1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","debate",104S,267.1S,1,"Lehrer:","No",1,51,4.95,1.39,4.86,2.41,5.96,2.41,NA,NA,NA,NA,NA,NA,NA
"52","and",104S,267.1S,1,"Lehrer:","No",1,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
